Z_idx,physics,r_pearson,p_pearson,r_spearman,p_spearman,p_adj
9,Thermal Conductivity,-0.0075888753599322786,0.591621273091447,0.04238576440063058,0.0027200397714449167,0.6135331720948339
9,Density,-0.5556177808846952,0.0,-0.4366395192358416,6.908171496770784e-232,0.0
9,Fusion Heat,-0.21891065832619408,2.590225669253869e-55,-0.25231945262979566,1.8025642965466348e-73,4.532894921194271e-55
10,Atomic Mass,-0.5883909620001713,0.0,-0.4477404009361181,3.830298384030684e-245,0.0
10,Electronegativity,0.32994033682582224,2.802292458221393e-127,0.333141539837108,7.163150431654039e-130,7.298994309785954e-127
10,Valence Electrons,-0.5604434950352053,0.0,-0.4532634037262609,6.337481410010212e-252,0.0
10,Atomic Radius,-0.322231706148348,3.6581007921618664e-121,-0.20042980259143586,1.777179293838113e-46,9.311529289139296e-121
10,Thermal Conductivity,0.09536839825945087,1.406025824617683e-11,0.14635398293066418,2.421274680468962e-25,1.7497210261908943e-11
10,Density,-0.6949734928437197,0.0,-0.5865369155415214,0.0,0.0
10,Fusion Heat,-0.12696855752925346,2.0181131201802628e-19,-0.18293705922176,7.004935612958595e-39,2.7232369814480656e-19
11,Atomic Mass,0.5038509942701341,3.3073e-320,0.4038395888081125,1.6777676207175457e-195,2.0579e-319
11,Electronegativity,-0.07751289601826304,4.067936182440485e-08,-0.047540644510575394,0.0007718642715930626,4.899019918638003e-08
11,Valence Electrons,0.5284595107537187,0.0,0.4712639553281494,6.483441893967096e-275,0.0
11,Atomic Radius,0.1029226439239655,2.9801526808121223e-13,-0.03266510961796711,0.020898626017655277,3.750304497201772e-13
11,Thermal Conductivity,-0.07436840322890756,1.4048228603770303e-07,-0.11731189495352934,8.658080430065434e-17,1.6562122143392358e-07
11,Density,0.6524674691590413,0.0,0.6356055171905118,0.0,0.0
11,Fusion Heat,0.19111858894154782,2.425265429397753e-42,0.22584722579455063,7.540473530595837e-59,3.9945548248904165e-42
12,Atomic Mass,0.3863411764407293,1.066652364510417e-177,0.3258431614784887,5.251378888047356e-124,3.620153479550506e-177
12,Electronegativity,0.06591251236779253,3.0917888452250044e-06,0.0973178100964212,5.346419683293022e-12,3.5699005223216543e-06
12,Valence Electrons,0.476347780964835,1.1617927683239709e-281,0.3930055477571174,2.3682593803563483e-184,5.914581366012943e-281
12,Atomic Radius,0.038981152707881196,0.005838034370076849,-0.03666568724147089,0.009517620096380653,0.006348153878141817
12,Thermal Conductivity,-0.11409864107018125,5.849371180957232e-16,-0.16639902491559583,2.259281746590678e-32,7.617785724037325e-16
12,Density,0.588635265997634,0.0,0.5018542569086992,0.0,0.0
12,Fusion Heat,0.31609336417471123,2.0250460566307088e-116,0.25675032735411424,4.2730439085591204e-76,5.0401146298364307e-116
13,Atomic Mass,0.057648493633962086,4.5281029760875936e-05,0.0978141185798946,4.166979457731625e-12,5.1749748298143923e-05
